cycle_mid,cycle_end,cumulative_expected_births,effective_total_birth_hazard_per_cycle
574737.4087794098,587151.8392927847,0.1431208990577681,2.0121073928491398e-07
599919.2452248393,612686.6511568938,0.1481779074066645,1.9804368936840981e-07
625818.2502802382,638949.8494035827,0.1532956269849918,1.9486277072033675e-07
652457.2760123778,665964.702621173,0.1584733317374825,1.916614060712095e-07
679860.0259812877,693755.3493414025,0.1637099236391068,1.884300122390626e-07
708051.0930789773,722346.8368165521,0.1690047990910866,1.8519062558678903e-07
737055.9993302373,751765.1618439223,0.1743570293781343,1.8193524893304064e-07
766901.237789693,782037.3137354639,0.1797655963570801,1.786647674841053e-07
797614.3166694841,813191.3196035045,0.1852292820676318,1.7537666692669709e-07
829223.8058171523,845256.2920308,0.1907467974718096,1.720729814032509e-07
861759.3856945534,878262.4793583069,0.196317075645461,1.687646657997735e-07
895251.8990147943,912241.3186712818,0.2019387458410568,1.654462103256469e-07
929733.4051713396,947225.4916713976,0.2076102331981727,1.621158046839388e-07
965237.2376860196,983248.9837006415,0.2133302716411234,1.5878633971151783e-07
1001798.0648315698,1020347.145962498,0.2190970285506499,1.5544589160029024e-07
1039451.9536156696,1058556.761268841,0.2249089310423684,1.5210575780786942e-07
1078236.437385451,1097916.113502061,0.230764037238515,1.487602275935019e-07
1118190.587246581,1138465.060991101,0.2366605961906014,1.4541829855584277e-07
1159355.0875445358,1180245.1140979703,0.2425965932866673,1.4207729896566185e-07
1201772.3156811814,1223299.5172643925,0.2485701219469024,1.3874373399498917e-07
1245486.4265582967,1267673.335852201,0.2545788511362781,1.3541158684563947e-07
1290543.4419363218,1313413.5480204425,0.2606206167780001,1.320887104655133e-07
1336991.3450194078,1360569.1420183731,0.2666932191676825,1.2877798527888172e-07
1384880.1806790968,1409191.2193398203,0.2727940549720256,1.254746020827042e-07
1434262.1616039881,1459333.1038681562,0.2789207486772402,1.2218714479613037e-07
1485191.7808359188,1511050.4578036815,0.285070625550706,1.1891321588364118e-07
1537725.931151486,1564401.4044992905,0.2912411149328393,1.1565847963933366e-07
1591924.0316557563,1619446.6588122223,0.2974294245463812,1.1242221860510364e-07
1647848.16217173,1676249.6655312378,0.3036327733974736,1.0920810727111932e-07
1705563.2060055041,1734876.7464797704,0.3098481786501527,1.0601594266880652e-07
1765137.0015130718,1795397.256546373,0.3160727107294556,1.0284996065718592e-07
1826640.5032082903,1857883.7498702076,0.3223032156778321,9.970962710432614e-08
1890147.9531443883,1922412.1564185687,0.3285366316848258,9.659956506630949e-08
1955737.0631934605,1989061.969968352,0.3347697287495299,9.352009754758596e-08
2023489.2089783554,2057916.4479883588,0.3409992319823685,9.047346537183053e-08
2093489.6364221622,2129062.8248559656,0.3472219112080357,8.746305152329446e-08
2165827.681803102,2202592.5387502387,0.3534343258627365,8.448849214391742e-08
2240597.006212213,2278601.4736741874,0.3596329947179552,8.155184468011312e-08
2317895.84563166,2357190.217589132,0.3658145311899161,7.865676640221005e-08
2397827.2776841903,2438464.337779249,0.3719754434578597,7.580410902673541e-08
2480499.506307697,2522534.674836145,0.3781122386669158,7.299596295067689e-08
2566026.1658364777,2609517.656836811,0.3842212186843941,7.023189912518168e-08
2654526.645806535,2699535.63477626,0.3902988204515439,6.751542198868289e-08
2746126.438135245,2792717.24149423,0.3963414879142121,6.484828578838881e-08
2840957.5084457956,2889197.7753973613,0.4023456043645935,6.223137670869108e-08
2939158.693452362,2989119.611507362,0.4083075603344588,5.966619711933614e-08
3040876.1262281584,3092632.640948954,0.4142237621089275,5.7154174758327765e-08
3146263.6918045683,3199894.742660183,0.4200907022732708,5.469723295314762e-08
3255483.515507494,3311072.2883548057,0.4259047818090656,5.229544778551479e-08
