material_class,option_id,sigma_a_MPa,N,phase_index,phase,Xi,proposed_length_m,maximum_released_energy_J_per_m,resistance_J_per_m2,minimum_energy_gate_margin_J_per_m,admitted_length_m,reason,mesh_resolved
Peak,v913_paper_peak01_0242980_persistent_sites,735.9214951373579,100000000.0,6,0.1875,0.1,2.2973400956248734e-06,0.05107342000628215,5.558653446743325,,2.2973400956248734e-06,stochastic_proposal_reached,True
Peak,v913_paper_peak01_0242980_persistent_sites,735.9214951373579,100000000.0,6,0.1875,0.3,2.2973400956248734e-06,0.05107342000628215,5.558653446743325,,2.2973400956248734e-06,stochastic_proposal_reached,True
Peak,v913_paper_peak01_0242980_persistent_sites,735.9214951373579,100000000.0,6,0.1875,0.49,2.2973400956248734e-06,0.05107342000628215,5.558653446743325,,2.2973400956248734e-06,stochastic_proposal_reached,True
Peak,v913_paper_peak01_0242980_persistent_sites,735.9214951373579,100000000.0,6,0.1875,0.5,2.2973400956248734e-06,0.05107342000628215,5.558653446743325,,2.2973400956248734e-06,stochastic_proposal_reached,True
Peak,v913_paper_peak01_0242980_persistent_sites,735.9214951373579,100000000.0,6,0.1875,0.6,2.7568081147498482e-06,0.05362709100659626,5.558653446743325,,2.7568081147498482e-06,stochastic_proposal_reached,True
Peak,v913_paper_peak01_0242980_persistent_sites,735.9214951373579,100000000.0,6,0.1875,0.8,3.6757441529997978e-06,0.05107342000628215,5.558653446743325,,3.6757441529997973e-06,stochastic_proposal_reached,True
Peak,v913_paper_peak01_0242980_persistent_sites,735.9214951373579,100000000.0,6,0.1875,1.0,4.594680191249747e-06,0.05107342000628215,5.558653446743325,,4.594680191249747e-06,stochastic_proposal_reached,True
Peak,v913_paper_peak01_0242980_persistent_sites,735.9214951373579,100000000.0,6,0.1875,1.25,5.743350239062183e-06,0.04788133125588952,5.558653446743325,,5.743350239062183e-06,stochastic_proposal_reached,True
Peak,v913_paper_peak01_0242980_persistent_sites,735.9214951373579,100000000.0,6,0.1875,1.5,6.89202028687462e-06,0.03830506500471162,5.558653446743325,,6.89202028687462e-06,stochastic_proposal_reached,True
Peak,v913_paper_peak01_0242980_persistent_sites,735.9214951373579,100000000.0,6,0.1875,2.0,9.189360382499494e-06,0.05107342000628215,5.558653446743325,,9.189360382499494e-06,stochastic_proposal_reached,True
Peak,v913_paper_peak01_0242980_persistent_sites,735.9214951373579,100000000.0,6,0.1875,2.5,1.1486700478124366e-05,0.05142938185790591,5.558653446743325,,1.1486700478124366e-05,stochastic_proposal_reached,True
Peak,v913_paper_peak01_0242980_persistent_sites,735.9214951373579,100000000.0,6,0.1875,3.0,1.378404057374924e-05,0.05142938185790591,5.558653446743325,,1.378404057374924e-05,stochastic_proposal_reached,True
Peak,v913_paper_peak01_0242980_persistent_sites,735.9214951373579,100000000.0,6,0.1875,3.5,1.6081380669374112e-05,0.05142938185790591,5.558653446743325,,1.6081380669374112e-05,stochastic_proposal_reached,True
Peak,v913_paper_peak01_0242980_persistent_sites,735.9214951373579,100000000.0,6,0.1875,3.99,1.833277396308649e-05,0.05142938185790591,5.558653446743325,,1.833277396308649e-05,stochastic_proposal_reached,True
Peak,v913_paper_peak01_0242980_persistent_sites,735.9214951373579,100000000.0,6,0.1875,4.0,1.8378720764998988e-05,0.05142938185790591,5.558653446743325,,1.8378720764998988e-05,stochastic_proposal_reached,True
Peak,v913_paper_peak01_0242980_persistent_sites,735.9214951373579,100000000.0,6,0.1875,8.0,1.8378720764998988e-05,0.05142938185790591,5.558653446743325,,1.8378720764998988e-05,stochastic_proposal_reached,True
Peak,v913_paper_peak01_0242980_persistent_sites,735.9214951373579,100000000.0,7,0.21875,0.1,2.2973400956248734e-06,0.03983154825509462,6.472063006116756,,2.2973400956248734e-06,stochastic_proposal_reached,True
Peak,v913_paper_peak01_0242980_persistent_sites,735.9214951373579,100000000.0,7,0.21875,0.3,2.2973400956248734e-06,0.03983154825509462,6.472063006116756,,2.2973400956248734e-06,stochastic_proposal_reached,True
Peak,v913_paper_peak01_0242980_persistent_sites,735.9214951373579,100000000.0,7,0.21875,0.49,2.2973400956248734e-06,0.03983154825509462,6.472063006116756,,2.2973400956248734e-06,stochastic_proposal_reached,True
Peak,v913_paper_peak01_0242980_persistent_sites,735.9214951373579,100000000.0,7,0.21875,0.5,2.2973400956248734e-06,0.03983154825509462,6.472063006116756,,2.2973400956248734e-06,stochastic_proposal_reached,True
Peak,v913_paper_peak01_0242980_persistent_sites,735.9214951373579,100000000.0,7,0.21875,0.6,2.7568081147498482e-06,0.041823125667849355,6.472063006116756,,2.7568081147498482e-06,stochastic_proposal_reached,True
Peak,v913_paper_peak01_0242980_persistent_sites,735.9214951373579,100000000.0,7,0.21875,0.8,3.6757441529997978e-06,0.03983154825509462,6.472063006116756,,3.6757441529997973e-06,stochastic_proposal_reached,True
Peak,v913_paper_peak01_0242980_persistent_sites,735.9214951373579,100000000.0,7,0.21875,1.0,4.594680191249747e-06,0.03983154825509462,6.472063006116756,,4.594680191249747e-06,stochastic_proposal_reached,True
Peak,v913_paper_peak01_0242980_persistent_sites,735.9214951373579,100000000.0,7,0.21875,1.25,5.743350239062183e-06,0.037342076489151214,6.472063006116756,,5.743350239062183e-06,stochastic_proposal_reached,True
Peak,v913_paper_peak01_0242980_persistent_sites,735.9214951373579,100000000.0,7,0.21875,1.5,6.89202028687462e-06,0.02987366119132097,6.472063006116756,,6.89202028687462e-06,stochastic_proposal_reached,True
Peak,v913_paper_peak01_0242980_persistent_sites,735.9214951373579,100000000.0,7,0.21875,2.0,9.189360382499494e-06,0.03983154825509462,6.472063006116756,,9.189360382499494e-06,stochastic_proposal_reached,True
Peak,v913_paper_peak01_0242980_persistent_sites,735.9214951373579,100000000.0,7,0.21875,2.5,1.1486700478124366e-05,0.04010915863771913,6.472063006116756,,1.1486700478124366e-05,stochastic_proposal_reached,True
Peak,v913_paper_peak01_0242980_persistent_sites,735.9214951373579,100000000.0,7,0.21875,3.0,1.378404057374924e-05,0.04010915863771913,6.472063006116756,,1.378404057374924e-05,stochastic_proposal_reached,True
Peak,v913_paper_peak01_0242980_persistent_sites,735.9214951373579,100000000.0,7,0.21875,3.5,1.6081380669374112e-05,0.04010915863771913,6.472063006116756,,1.6081380669374112e-05,stochastic_proposal_reached,True
Peak,v913_paper_peak01_0242980_persistent_sites,735.9214951373579,100000000.0,7,0.21875,3.99,1.833277396308649e-05,0.04010915863771913,6.472063006116756,,1.833277396308649e-05,stochastic_proposal_reached,True
Peak,v913_paper_peak01_0242980_persistent_sites,735.9214951373579,100000000.0,7,0.21875,4.0,1.8378720764998988e-05,0.04010915863771913,6.472063006116756,,1.8378720764998988e-05,stochastic_proposal_reached,True
