site_id,pd_node_id,site_threshold,node_cumulative_action,remaining_threshold_action,site_status
2752,305,0.08176504770967222,7.150180119874699e-25,0.08176504770967222,0
991,155,0.08183253800495859,4.212554510348425e-28,0.08183253800495859,0
2983,312,0.08191805574529583,7.060426745125837e-28,0.08191805574529583,0
1732,254,0.08241624555761644,4.444272633072384e-25,0.08241624555761644,0
3214,444,0.0824678887765592,3.2308369680466237e-28,0.0824678887765592,0
1272,205,0.0825136862816742,3.320057320057209e-24,0.0825136862816742,0
422,67,0.08272048101519132,6.952758262718881e-24,0.08272048101519132,0
3039,315,0.08297869079627784,1.02523651693438e-29,0.08297869079627784,0
2163,273,0.08344973851494554,6.846821228054287e-26,0.08344973851494554,0
3458,462,0.08349940797261537,7.0960596185736065e-28,0.08349940797261537,0
1714,253,0.08364425873069094,1.4637357022017424e-24,0.08364425873069094,0
726,112,0.08389615320994616,1.5805457156921786e-26,0.08389615320994616,0
1583,245,0.08419594342072886,4.4503102314880855e-25,0.08419594342072886,0
3364,454,0.0846378873610793,4.348567572686123e-30,0.0846378873610793,0
1619,247,0.0851744820590786,6.590791384412802e-24,0.0851744820590786,0
117,27,0.08562328580518902,2.790083688388882e-24,0.08562328580518902,0
2167,273,0.08578928280126838,6.846821228054287e-26,0.08578928280126838,0
824,126,0.0860323661801199,9.750965169062085e-25,0.0860323661801199,0
3076,317,0.08730678948058825,1.6424145040209993e-28,0.08730678948058825,0
1624,247,0.08755273280117876,6.590791384412802e-24,0.08755273280117876,0
611,95,0.08767391175917107,1.631736772643244e-27,0.08767391175917107,0
2183,273,0.08794688733956459,6.846821228054287e-26,0.08794688733956459,0
1,3,0.08794876298242199,2.958748368805489e-35,0.08794876298242199,0
2073,270,0.08801228066389487,5.680891685164823e-24,0.08801228066389487,0
2834,307,0.08818046335603617,3.448863125291685e-29,0.08818046335603617,0
354,53,0.08980350766587,1.1564462378685326e-26,0.08980350766587,0
2251,275,0.08990511400663433,1.1005624669508466e-26,0.08990511400663433,0
102,26,0.09053844116080963,3.434509175098565e-24,0.09053844116080963,0
2737,304,0.09127106371742681,1.3430007815748096e-23,0.09127106371742681,0
761,117,0.09134095097380478,1.6783207165471738e-28,0.09134095097380478,0
1378,224,0.09155096178045705,2.46131712388156e-24,0.09155096178045705,0
1847,259,0.09211610044905884,2.7057471472795516e-26,0.09211610044905884,0
1704,252,0.09246808567933142,3.680203867121252e-24,0.09246808567933142,0
2940,311,0.09357212912314647,1.3917620038740118e-27,0.09357212912314647,0
2622,297,0.09361424229405227,2.8967584601099325e-20,0.09361424229405227,0
1531,239,0.09361479220696134,8.193117360888574e-30,0.09361479220696134,0
1824,258,0.09397283118362947,1.1144489704144987e-26,0.09397283118362947,0
2465,288,0.09423832759987116,1.93493969726597e-27,0.09423832759987116,0
1805,258,0.09438775480989256,1.1144489704144987e-26,0.09438775480989256,0
3786,489,0.0947282402346089,4.7018978326794854e-30,0.0947282402346089,0
3185,444,0.09561178965792495,3.2308369680466237e-28,0.09561178965792495,0
1927,261,0.09589660882315686,5.3624751969882235e-25,0.09589660882315686,0
504,79,0.09591413836219674,6.054852193262741e-29,0.09591413836219674,0
1552,245,0.09615360845256193,4.4503102314880855e-25,0.09615360845256193,0
3734,488,0.09621781919238466,6.268646962691018e-26,0.09621781919238466,0
3018,314,0.09656661360234968,1.8188522307993302e-29,0.09656661360234968,0
152,31,0.09670349244289428,1.151048346431841e-25,0.09670349244289428,0
2488,289,0.09706294598195003,4.7304259428668575e-27,0.09706294598195003,0
2485,289,0.09721596391833608,4.7304259428668575e-27,0.09721596391833608,0
1920,261,0.09742892402969704,5.3624751969882235e-25,0.09742892402969704,0
842,129,0.09743081140249427,1.2828554249259361e-25,0.09743081140249427,0
955,149,0.09839316427633062,9.15925207038861e-26,0.09839316427633062,0
2560,293,0.09850655738561287,2.2904022022242663e-25,0.09850655738561287,0
838,129,0.09851677463144276,1.2828554249259361e-25,0.09851677463144276,0
1234,197,0.09857279966181492,6.572664010847163e-29,0.09857279966181492,0
673,106,0.09862794224500691,3.1874881173121603e-24,0.09862794224500691,0
1564,245,0.09872140711377952,4.4503102314880855e-25,0.09872140711377952,0
1277,206,0.09924698572797896,1.5697266606356678e-24,0.09924698572797896,0
9,5,0.09949261647268251,2.13853008760558e-32,0.09949261647268251,0
863,132,0.0999584442608796,1.0129948045156376e-26,0.0999584442608796,0
1098,174,0.10149016850381865,6.397959385459314e-28,0.10149016850381865,0
3611,481,0.1016473479610597,8.455631988510236e-28,0.1016473479610597,0
465,74,0.1020361756690081,6.841446507141857e-27,0.1020361756690081,0
1076,170,0.10204708211805649,2.6084578974784926e-26,0.10204708211805649,0
341,51,0.10369599745588488,6.611570480671493e-26,0.10369599745588488,0
2826,306,0.10440401232264587,2.1132916639841704e-26,0.10440401232264587,0
3169,444,0.10440683977917653,3.2308369680466237e-28,0.10440683977917653,0
2873,309,0.10452400738124294,1.2246685840617077e-29,0.10452400738124294,0
1736,254,0.10471989264271578,4.444272633072384e-25,0.10471989264271578,0
3368,454,0.10546801451579817,4.348567572686123e-30,0.10546801451579817,0
2776,305,0.10590054284227336,7.150180119874699e-25,0.10590054284227336,0
1724,253,0.10613599833230306,1.4637357022017424e-24,0.10613599833230306,0
3429,462,0.10632306952558584,7.0960596185736065e-28,0.10632306952558584,0
1214,194,0.10693345852939806,9.764407436187463e-28,0.10693345852939806,0
1949,263,0.10734242747851343,1.7038964594948676e-23,0.10734242747851343,0
409,65,0.10786590886070678,1.9811919104811584e-24,0.10786590886070678,0
1555,245,0.10792231339961023,4.4503102314880855e-25,0.10792231339961023,0
2670,300,0.1079758210502197,3.2576137516329277e-41,0.1079758210502197,0
3568,480,0.10843646254759333,1.0939454433960173e-25,0.10843646254759333,0
2084,270,0.1084807052856876,5.680891685164823e-24,0.1084807052856876,0
